filename,ppm
Sri Aurobindo Marg_456540_chan02_20220314_225028,81.0
Sonia Vihar Water Treatment Plant_701135_chan01_20220402_040039,127.0
Sri Aurobindo Marg_456540_chan02_20220420_035333,127.0
Sonia Vihar Water Treatment Plant_701135_chan03_20220401_170047,16.0
RK Puram_440526_chan02_20220309_120142,63.0
RK Puram_440526_chan02_20220316_040203,149.0
N.P. Boys Sr. Sec. School_408511_chan02_20220315_163619,53.0
N.P. Boys Sr. Sec. School_408511_chan01_20220316_030140,86.0
Sonia Vihar Water Treatment Plant_701135_chan01_20220420_160034,28.0
N.P. Boys Sr. Sec. School_408511_chan02_20220419_230136,129.0
Sonia Vihar Water Treatment Plant_701135_chan02_20220408_010047,136.0
N.P. Boys Sr. Sec. School_408511_chan03_20220315_193622,65.0
N.P. Boys Sr. Sec. School_408511_chan03_20220314_110141,83.0
N.P. Boys Sr. Sec. School_408511_chan03_20220420_060144,104.0
"Sector 8, Dwarka_361115_chan02_20211012_120143",44.0
Sonia Vihar Water Treatment Plant_701135_chan03_20220403_130052,73.0
RK Puram_440526_chan02_20220315_190143,81.0
Sri Aurobindo Marg_456540_chan02_20220314_125025,68.0
Sri Aurobindo Marg_456540_chan01_20220321_124937,140.0
Sonia Vihar Water Treatment Plant_701135_chan03_20220408_100058,123.0
N.P. Boys Sr. Sec. School_408511_chan03_20220315_120154,95.0
RK Puram_440526_chan01_20220315_020140,156.0
N.P. Boys Sr. Sec. School_408511_chan03_20220419_150138,73.0
RK Puram_440526_chan02_20220310_004948,62.0
"Sector 8, Dwarka_361115_chan02_20211011_161043",31.0
"Sector 8, Dwarka_361115_chan02_20211012_140143",33.0
"DITE, Okhla Industrial Area_523324_chan03_20220420_050144",92.0
N.P. Boys Sr. Sec. School_408511_chan02_20220419_200136,102.0
Sri Aurobindo Marg_456540_chan02_20220420_065429,113.0
RK Puram_440526_chan01_20220316_040141,149.0
Sonia Vihar Water Treatment Plant_701135_chan01_20220420_110033,58.0
N.P. Boys Sr. Sec. School_408511_chan03_20220315_040319,115.0
RK Puram_440526_chan01_20220309_130140,41.0
RK Puram_440526_chan01_20220309_224948,81.0
Sri Aurobindo Marg_456540_chan02_20220316_015026,89.0
Sonia Vihar Water Treatment Plant_701135_chan02_20220407_190030,45.0
N.P. Boys Sr. Sec. School_408511_chan01_20220315_070144,99.0
Sri Aurobindo Marg_456540_chan01_20220419_135328,66.0
Sri Aurobindo Marg_456540_chan02_20220315_175026,57.0
N.P. Boys Sr. Sec. School_408511_chan01_20220420_030142,127.0
Sonia Vihar Water Treatment Plant_701135_chan02_20220402_190042,59.0
Sonia Vihar Water Treatment Plant_701135_chan02_20220401_170045,16.0
N.P. Boys Sr. Sec. School_408511_chan03_20220315_203622,81.0
Sonia Vihar Water Treatment Plant_701135_chan01_20220407_210030,81.0
"DITE, Okhla Industrial Area_523324_chan01_20220420_030140",136.0
RK Puram_440526_chan02_20220315_020141,156.0
N.P. Boys Sr. Sec. School_408511_chan02_20220310_005052,93.0
"Sector 8, Dwarka_361115_chan01_20211012_210142",89.0
Sri Aurobindo Marg_456540_chan01_20220315_145024,66.0
Sri Aurobindo Marg_456540_chan02_20220420_045330,135.0
Sri Aurobindo Marg_456540_chan02_20220420_015330,111.0
RK Puram_440526_chan02_20220309_090142,68.0
Sonia Vihar Water Treatment Plant_701135_chan02_20220407_040047,199.0
N.P. Boys Sr. Sec. School_408511_chan03_20220314_190141,66.0
RK Puram_440526_chan02_20220314_120142,78.0
"Sector 8, Dwarka_361115_chan02_20211012_160143",34.0
"DITE, Okhla Industrial Area_523324_chan03_20220419_220144",85.0
RK Puram_440526_chan02_20220314_110141,114.0
"Sector 8, Dwarka_361115_chan02_20211012_053733",86.0
Sonia Vihar Water Treatment Plant_701135_chan03_20220403_020049,125.0
Sonia Vihar Water Treatment Plant_701135_chan03_20220403_110052,122.0
"DITE, Okhla Industrial Area_523324_chan02_20220419_180143",39.0
Sri Aurobindo Marg_456540_chan01_20220314_165024,59.0
N.P. Boys Sr. Sec. School_408511_chan02_20220420_030148,127.0
Sri Aurobindo Marg_456540_chan01_20220314_145024,56.0
N.P. Boys Sr. Sec. School_408511_chan02_20220314_220138,103.0
"Sector 8, Dwarka_361115_chan02_20220420_090150",200.0
N.P. Boys Sr. Sec. School_408511_chan03_20220316_080151,100.0
Sonia Vihar Water Treatment Plant_701135_chan02_20220401_200044,51.0
"DITE, Okhla Industrial Area_523324_chan03_20220420_080153",145.0
N.P. Boys Sr. Sec. School_408511_chan01_20220314_130136,72.0
Sonia Vihar Water Treatment Plant_701135_chan01_20220420_150034,33.0
Sonia Vihar Water Treatment Plant_701135_chan02_20220406_150043,28.0
Sonia Vihar Water Treatment Plant_701135_chan02_20220401_160044,19.0
Sonia Vihar Water Treatment Plant_701135_chan01_20220420_040033,117.0
N.P. Boys Sr. Sec. School_408511_chan02_20220315_143621,79.0
Sonia Vihar Water Treatment Plant_701135_chan03_20220420_100136,94.0
RK Puram_440526_chan01_20220310_004947,62.0
Sonia Vihar Water Treatment Plant_701135_chan03_20220407_170032,28.0
Sonia Vihar Water Treatment Plant_701135_chan01_20220402_190041,59.0
Sri Aurobindo Marg_456540_chan02_20220315_005028,105.0
Sri Aurobindo Marg_456540_chan01_20220315_015024,106.0
RK Puram_440526_chan02_20220316_100228,153.0
N.P. Boys Sr. Sec. School_408511_chan03_20220315_173622,39.0
"Sector 8, Dwarka_361115_chan02_20220419_135010",47.0
Sri Aurobindo Marg_456540_chan01_20220315_005024,105.0
N.P. Boys Sr. Sec. School_408511_chan02_20220420_060142,104.0
RK Puram_440526_chan01_20220315_140141,63.0
RK Puram_440526_chan02_20220315_030141,167.0
Sonia Vihar Water Treatment Plant_701135_chan01_20220402_080039,233.0
N.P. Boys Sr. Sec. School_408511_chan01_20220315_040144,115.0
Sonia Vihar Water Treatment Plant_701135_chan01_20220420_200034,55.0
Sonia Vihar Water Treatment Plant_701135_chan01_20220402_180040,38.0
Sonia Vihar Water Treatment Plant_701135_chan01_20220408_020045,145.0
"Sector 8, Dwarka_361115_chan02_20220420_065005",230.0
Sonia Vihar Water Treatment Plant_701135_chan03_20220420_010137,146.0
Sonia Vihar Water Treatment Plant_701135_chan02_20220401_220044,103.0
N.P. Boys Sr. Sec. School_408511_chan01_20220420_060141,104.0
"Sector 8, Dwarka_361115_chan01_20220419_185003",56.0
Sonia Vihar Water Treatment Plant_701135_chan03_20220420_080037,135.0
N.P. Boys Sr. Sec. School_408511_chan02_20220315_223619,97.0
RK Puram_440526_chan01_20220315_170141,47.0
"Sector 8, Dwarka_361115_chan02_20220420_045006",136.0
N.P. Boys Sr. Sec. School_408511_chan02_20220316_050142,102.0
Sonia Vihar Water Treatment Plant_701135_chan03_20220407_150032,28.0
Sri Aurobindo Marg_456540_chan02_20220420_142958,34.0
RK Puram_440526_chan02_20220315_120143,66.0
N.P. Boys Sr. Sec. School_408511_chan01_20220314_200137,71.0
"Sector 8, Dwarka_361115_chan02_20211011_235533",79.0
Sri Aurobindo Marg_456540_chan01_20220420_105328,127.0
Sonia Vihar Water Treatment Plant_701135_chan03_20220408_070058,157.0
Sri Aurobindo Marg_456540_chan01_20220314_125023,68.0
RK Puram_440526_chan02_20220316_000143,121.0
"Sector 8, Dwarka_361115_chan01_20211012_220142",69.0
Sri Aurobindo Marg_456540_chan02_20220419_165329,44.0
"Sector 8, Dwarka_361115_chan01_20220419_165004",40.0
RK Puram_440526_chan02_20220314_140141,70.0
RK Puram_440526_chan02_20220314_170141,57.0
"DITE, Okhla Industrial Area_523324_chan03_20220420_020144",133.0
Sonia Vihar Water Treatment Plant_701135_chan02_20220420_120035,40.0
RK Puram_440526_chan01_20220316_050141,105.0
N.P. Boys Sr. Sec. School_408511_chan01_20220316_080141,100.0
N.P. Boys Sr. Sec. School_408511_chan03_20220315_153746,61.0
N.P. Boys Sr. Sec. School_408511_chan02_20220316_003620,90.0
Sri Aurobindo Marg_456540_chan01_20220420_025327,116.0
Sonia Vihar Water Treatment Plant_701135_chan01_20220420_140035,34.0
Sonia Vihar Water Treatment Plant_701135_chan01_20220401_180044,25.0
Sri Aurobindo Marg_456540_chan01_20220314_135023,70.0
N.P. Boys Sr. Sec. School_408511_chan01_20220314_110136,83.0
Sri Aurobindo Marg_456540_chan01_20220419_205327,42.0
Sonia Vihar Water Treatment Plant_701135_chan02_20220402_090041,151.0
N.P. Boys Sr. Sec. School_408511_chan03_20220420_100145,141.0
N.P. Boys Sr. Sec. School_408511_chan02_20220315_173619,39.0
Sonia Vihar Water Treatment Plant_701135_chan01_20220401_170044,16.0
N.P. Boys Sr. Sec. School_408511_chan03_20220314_220144,103.0
Sri Aurobindo Marg_456540_chan01_20220315_115024,64.0
Sonia Vihar Water Treatment Plant_701135_chan03_20220401_200046,51.0
RK Puram_440526_chan02_20220314_190142,74.0
N.P. Boys Sr. Sec. School_408511_chan02_20220314_150141,60.0
RK Puram_440526_chan02_20220309_100142,66.0
N.P. Boys Sr. Sec. School_408511_chan01_20220419_230134,129.0
Sonia Vihar Water Treatment Plant_701135_chan01_20220406_140042,35.0
Sri Aurobindo Marg_456540_chan02_20220420_085330,161.0
Sonia Vihar Water Treatment Plant_701135_chan03_20220420_020036,136.0
Sri Aurobindo Marg_456540_chan01_20220315_155024,48.0
N.P. Boys Sr. Sec. School_408511_chan03_20220321_110147,177.0
"Sector 8, Dwarka_361115_chan01_20220419_235003",239.0
N.P. Boys Sr. Sec. School_408511_chan03_20220419_230138,129.0
N.P. Boys Sr. Sec. School_408511_chan02_20220315_213619,91.0
Sonia Vihar Water Treatment Plant_701135_chan02_20220403_140050,58.0
N.P. Boys Sr. Sec. School_408511_chan03_20220419_170139,104.0
RK Puram_440526_chan01_20220315_230140,111.0
Sonia Vihar Water Treatment Plant_701135_chan01_20220420_190035,45.0
"DITE, Okhla Industrial Area_523324_chan02_20220420_050142",92.0
"DITE, Okhla Industrial Area_523324_chan02_20220419_230141",94.0
RK Puram_440526_chan01_20220315_010140,168.0
Sonia Vihar Water Treatment Plant_701135_chan01_20220401_140044,18.0
N.P. Boys Sr. Sec. School_408511_chan02_20220316_013620,91.0
Sonia Vihar Water Treatment Plant_701135_chan03_20220402_200042,143.0
"Sector 8, Dwarka_361115_chan01_20220420_005004",202.0
RK Puram_440526_chan02_20220315_220142,100.0
Sonia Vihar Water Treatment Plant_701135_chan03_20220420_140059,34.0
Sri Aurobindo Marg_456540_chan02_20220315_025025,107.0
Sri Aurobindo Marg_456540_chan02_20220314_215025,78.0
"Sector 8, Dwarka_361115_chan01_20220419_205004",88.0
Sonia Vihar Water Treatment Plant_701135_chan01_20220408_060055,167.0
N.P. Boys Sr. Sec. School_408511_chan03_20220321_120147,154.0
"Sector 8, Dwarka_361115_chan01_20211011_211907",118.0
Sonia Vihar Water Treatment Plant_701135_chan03_20220401_180047,25.0
Sonia Vihar Water Treatment Plant_701135_chan03_20220402_020043,110.0
N.P. Boys Sr. Sec. School_408511_chan02_20220316_040143,92.0
N.P. Boys Sr. Sec. School_408511_chan01_20220315_130145,87.0
RK Puram_440526_chan01_20220315_070142,145.0
N.P. Boys Sr. Sec. School_408511_chan01_20220315_163614,53.0
N.P. Boys Sr. Sec. School_408511_chan01_20220316_110140,97.0
"Sector 8, Dwarka_361115_chan01_20220419_195003",83.0
Sonia Vihar Water Treatment Plant_701135_chan01_20220420_070034,91.0
N.P. Boys Sr. Sec. School_408511_chan03_20220321_130148,113.0
RK Puram_440526_chan02_20220315_110142,119.0
Sonia Vihar Water Treatment Plant_701135_chan01_20220419_230041,94.0
Sri Aurobindo Marg_456540_chan02_20220315_135026,73.0
"Sector 8, Dwarka_361115_chan02_20211012_063734",91.0
RK Puram_440526_chan02_20220316_090146,180.0
RK Puram_440526_chan01_20220309_214947,55.0
Sonia Vihar Water Treatment Plant_701135_chan03_20220402_050042,133.0
"Sector 8, Dwarka_361115_chan02_20211012_073734",99.0
Sonia Vihar Water Treatment Plant_701135_chan01_20220402_060040,158.0
"DITE, Okhla Industrial Area_523324_chan03_20220420_110157",95.0
Sonia Vihar Water Treatment Plant_701135_chan03_20220401_140109,18.0
"Sector 8, Dwarka_361115_chan01_20211012_033731",81.0
RK Puram_440526_chan01_20220316_080142,175.0
Sri Aurobindo Marg_456540_chan01_20220321_114937,199.0
"Sector 8, Dwarka_361115_chan02_20220419_235005",239.0
Sonia Vihar Water Treatment Plant_701135_chan01_20220407_120030,74.0
"DITE, Okhla Industrial Area_523324_chan01_20220419_210141",69.0
N.P. Boys Sr. Sec. School_408511_chan01_20220315_193615,65.0
"DITE, Okhla Industrial Area_523324_chan01_20220420_040140",123.0
"Sector 8, Dwarka_361115_chan01_20211011_191907",111.0
N.P. Boys Sr. Sec. School_408511_chan02_20220315_000139,105.0
Sonia Vihar Water Treatment Plant_701135_chan02_20220402_050041,133.0
Sonia Vihar Water Treatment Plant_701135_chan03_20220406_120044,57.0
Sonia Vihar Water Treatment Plant_701135_chan03_20220407_190031,45.0
Sonia Vihar Water Treatment Plant_701135_chan03_20220420_190138,45.0
N.P. Boys Sr. Sec. School_408511_chan02_20220316_090145,102.0
Sri Aurobindo Marg_456540_chan02_20220315_155026,48.0
Sonia Vihar Water Treatment Plant_701135_chan03_20220406_160109,18.0
RK Puram_440526_chan01_20220309_080140,80.0
Sri Aurobindo Marg_456540_chan01_20220314_185025,64.0
"Sector 8, Dwarka_361115_chan01_20220420_055004",188.0
N.P. Boys Sr. Sec. School_408511_chan02_20220419_190136,102.0
"Sector 8, Dwarka_361115_chan02_20211012_230144",61.0
Sri Aurobindo Marg_456540_chan01_20220314_215023,78.0
"DITE, Okhla Industrial Area_523324_chan01_20220419_200141",61.0
"Sector 8, Dwarka_361115_chan02_20211012_130143",35.0
Sri Aurobindo Marg_456540_chan02_20220315_165026,52.0
RK Puram_440526_chan01_20220314_120140,78.0
"Sector 8, Dwarka_361115_chan01_20211011_235531",79.0
RK Puram_440526_chan02_20220314_210142,260.0
"Sector 8, Dwarka_361115_chan02_20211012_220144",69.0
Sonia Vihar Water Treatment Plant_701135_chan02_20220407_210042,81.0
N.P. Boys Sr. Sec. School_408511_chan02_20220315_183616,55.0
Sonia Vihar Water Treatment Plant_701135_chan02_20220408_120057,70.0
Sonia Vihar Water Treatment Plant_701135_chan03_20220407_210106,81.0
RK Puram_440526_chan01_20220314_210140,260.0
Sonia Vihar Water Treatment Plant_701135_chan02_20220401_230044,96.0
Sonia Vihar Water Treatment Plant_701135_chan01_20220402_130040,35.0
N.P. Boys Sr. Sec. School_408511_chan02_20220419_140137,72.0
"Sector 8, Dwarka_361115_chan01_20211012_160142",34.0
Sri Aurobindo Marg_456540_chan01_20220314_155024,58.0
Sri Aurobindo Marg_456540_chan02_20220321_144953,85.0
Sonia Vihar Water Treatment Plant_701135_chan02_20220420_180035,35.0
"Sector 8, Dwarka_361115_chan02_20220419_195010",83.0
Sri Aurobindo Marg_456540_chan01_20220420_045329,135.0
N.P. Boys Sr. Sec. School_408511_chan02_20220315_060148,108.0
Sonia Vihar Water Treatment Plant_701135_chan02_20220420_160036,28.0
"Sector 8, Dwarka_361115_chan01_20220420_100139",141.0
N.P. Boys Sr. Sec. School_408511_chan01_20220315_183615,55.0
"DITE, Okhla Industrial Area_523324_chan01_20220419_230140",94.0
Sonia Vihar Water Treatment Plant_701135_chan03_20220420_200136,55.0
Sonia Vihar Water Treatment Plant_701135_chan01_20220401_200043,51.0
Sonia Vihar Water Treatment Plant_701135_chan01_20220403_010047,129.0
"Sector 8, Dwarka_361115_chan01_20211013_020142",81.0
N.P. Boys Sr. Sec. School_408511_chan01_20220419_190135,102.0
"Sector 8, Dwarka_361115_chan01_20211012_023731",81.0
Sri Aurobindo Marg_456540_chan02_20220419_235329,69.0
RK Puram_440526_chan01_20220315_220140,100.0
Sonia Vihar Water Treatment Plant_701135_chan02_20220420_170037,34.0
Sonia Vihar Water Treatment Plant_701135_chan03_20220402_190043,59.0
Sri Aurobindo Marg_456540_chan01_20220315_185024,56.0
N.P. Boys Sr. Sec. School_408511_chan01_20220315_000137,105.0
Sonia Vihar Water Treatment Plant_701135_chan03_20220401_210046,62.0
N.P. Boys Sr. Sec. School_408511_chan02_20220314_120138,90.0
N.P. Boys Sr. Sec. School_408511_chan02_20220314_140137,81.0
Sonia Vihar Water Treatment Plant_701135_chan03_20220419_230044,94.0
RK Puram_440526_chan02_20220316_080234,175.0
"Sector 8, Dwarka_361115_chan01_20211012_170143",40.0
"DITE, Okhla Industrial Area_523324_chan03_20220419_210148",69.0
N.P. Boys Sr. Sec. School_408511_chan02_20220420_090144,174.0
RK Puram_440526_chan01_20220316_110144,145.0
Sri Aurobindo Marg_456540_chan01_20220316_015024,89.0
Sonia Vihar Water Treatment Plant_701135_chan03_20220403_120052,101.0
RK Puram_440526_chan02_20220309_000141,91.0
Sri Aurobindo Marg_456540_chan02_20220419_205329,42.0
Sri Aurobindo Marg_456540_chan02_20220316_035025,97.0
RK Puram_440526_chan01_20220321_120146,219.0
Sonia Vihar Water Treatment Plant_701135_chan03_20220408_020048,145.0
RK Puram_440526_chan01_20220309_030140,91.0
Sonia Vihar Water Treatment Plant_701135_chan03_20220402_060043,158.0
"Sector 8, Dwarka_361115_chan01_20220419_225003",188.0
RK Puram_440526_chan01_20220315_120141,66.0
Sonia Vihar Water Treatment Plant_701135_chan03_20220407_080041,213.0
N.P. Boys Sr. Sec. School_408511_chan01_20220321_150144,82.0
Sonia Vihar Water Treatment Plant_701135_chan01_20220420_170034,34.0
Sonia Vihar Water Treatment Plant_701135_chan01_20220403_050048,107.0
"Sector 8, Dwarka_361115_chan01_20220419_175004",48.0
Sri Aurobindo Marg_456540_chan01_20220315_165024,52.0
RK Puram_440526_chan01_20220315_050139,145.0
Sri Aurobindo Marg_456540_chan01_20220316_005025,95.0
Sonia Vihar Water Treatment Plant_701135_chan02_20220406_160107,18.0
N.P. Boys Sr. Sec. School_408511_chan03_20220315_060150,108.0
N.P. Boys Sr. Sec. School_408511_chan01_20220314_120137,90.0
RK Puram_440526_chan01_20220314_230140,134.0
N.P. Boys Sr. Sec. School_408511_chan01_20220314_140136,81.0
"DITE, Okhla Industrial Area_523324_chan02_20220419_160144",38.0
Sonia Vihar Water Treatment Plant_701135_chan01_20220407_150029,28.0
"DITE, Okhla Industrial Area_523324_chan01_20220420_070150",117.0
N.P. Boys Sr. Sec. School_408511_chan01_20220321_140145,86.0
N.P. Boys Sr. Sec. School_408511_chan01_20220316_060140,94.0
Sri Aurobindo Marg_456540_chan01_20220315_235024,89.0
N.P. Boys Sr. Sec. School_408511_chan03_20220310_005053,93.0
Sonia Vihar Water Treatment Plant_701135_chan01_20220403_140048,58.0
Sri Aurobindo Marg_456540_chan01_20220315_105024,81.0
N.P. Boys Sr. Sec. School_408511_chan02_20220316_060142,94.0
N.P. Boys Sr. Sec. School_408511_chan03_20220420_090145,174.0
N.P. Boys Sr. Sec. School_408511_chan01_20220316_003615,90.0
N.P. Boys Sr. Sec. School_408511_chan03_20220316_013624,91.0
Sonia Vihar Water Treatment Plant_701135_chan01_20220406_200042,66.0
"DITE, Okhla Industrial Area_523324_chan02_20220419_220143",85.0
RK Puram_440526_chan01_20220314_190140,74.0
N.P. Boys Sr. Sec. School_408511_chan01_20220315_060144,108.0
Sonia Vihar Water Treatment Plant_701135_chan02_20220403_030050,113.0
Sonia Vihar Water Treatment Plant_701135_chan02_20220420_110035,58.0
RK Puram_440526_chan02_20220315_040141,134.0
"Sector 8, Dwarka_361115_chan02_20220420_110145",66.0
RK Puram_440526_chan01_20220314_180139,64.0
Sonia Vihar Water Treatment Plant_701135_chan02_20220402_100041,128.0
"Sector 8, Dwarka_361115_chan01_20220420_025003",169.0
RK Puram_440526_chan02_20220309_194949,83.0
RK Puram_440526_chan02_20220316_110213,145.0
RK Puram_440526_chan01_20220315_000140,155.0
Sonia Vihar Water Treatment Plant_701135_chan03_20220419_210045,69.0
"DITE, Okhla Industrial Area_523324_chan03_20220420_120212",53.0
Sonia Vihar Water Treatment Plant_701135_chan01_20220408_120055,70.0
Sri Aurobindo Marg_456540_chan02_20220316_025026,90.0
Sonia Vihar Water Treatment Plant_701135_chan02_20220403_150050,45.0
RK Puram_440526_chan02_20220315_180142,77.0
Sri Aurobindo Marg_456540_chan01_20220316_045025,88.0
N.P. Boys Sr. Sec. School_408511_chan02_20220420_040302,115.0
Sonia Vihar Water Treatment Plant_701135_chan02_20220420_080036,135.0
Sonia Vihar Water Treatment Plant_701135_chan03_20220420_050036,84.0
RK Puram_440526_chan02_20220309_030141,91.0
N.P. Boys Sr. Sec. School_408511_chan02_20220420_080144,159.0
"Sector 8, Dwarka_361115_chan01_20211011_171031",33.0
Sonia Vihar Water Treatment Plant_701135_chan01_20220420_180034,35.0
RK Puram_440526_chan02_20220309_214952,55.0
"Sector 8, Dwarka_361115_chan01_20211012_190141",46.0
N.P. Boys Sr. Sec. School_408511_chan01_20220420_110143,111.0
Sonia Vihar Water Treatment Plant_701135_chan03_20220406_190045,33.0
N.P. Boys Sr. Sec. School_408511_chan03_20220321_150157,82.0
Sonia Vihar Water Treatment Plant_701135_chan03_20220406_150044,28.0
Sonia Vihar Water Treatment Plant_701135_chan02_20220406_140112,35.0
Sonia Vihar Water Treatment Plant_701135_chan03_20220420_130045,35.0
Sri Aurobindo Marg_456540_chan02_20220419_175329,38.0
Sri Aurobindo Marg_456540_chan01_20220315_205025,68.0
Sonia Vihar Water Treatment Plant_701135_chan02_20220401_180045,25.0
Sonia Vihar Water Treatment Plant_701135_chan03_20220402_080042,233.0
"DITE, Okhla Industrial Area_523324_chan03_20220419_180146",39.0
"Sector 8, Dwarka_361115_chan02_20220419_225008",188.0
Sonia Vihar Water Treatment Plant_701135_chan03_20220407_050041,183.0
Sri Aurobindo Marg_456540_chan01_20220321_144936,85.0
Sri Aurobindo Marg_456540_chan02_20220314_195125,67.0
"DITE, Okhla Industrial Area_523324_chan03_20220420_090157",158.0
N.P. Boys Sr. Sec. School_408511_chan03_20220314_180141,64.0
N.P. Boys Sr. Sec. School_408511_chan01_20220419_200134,102.0
N.P. Boys Sr. Sec. School_408511_chan02_20220314_130138,72.0
RK Puram_440526_chan01_20220316_100143,153.0
"Sector 8, Dwarka_361115_chan02_20211013_000144",62.0
RK Puram_440526_chan01_20220314_160140,102.0
"Sector 8, Dwarka_361115_chan02_20220419_215034",134.0
Sonia Vihar Water Treatment Plant_701135_chan01_20220401_230043,96.0
N.P. Boys Sr. Sec. School_408511_chan03_20220315_163622,53.0
Sri Aurobindo Marg_456540_chan02_20220314_185026,64.0
Sri Aurobindo Marg_456540_chan01_20220315_175024,57.0
RK Puram_440526_chan01_20220316_010140,133.0
Sonia Vihar Water Treatment Plant_701135_chan02_20220402_010042,106.0
"DITE, Okhla Industrial Area_523324_chan02_20220419_170150",44.0
Sri Aurobindo Marg_456540_chan02_20220314_165025,59.0
N.P. Boys Sr. Sec. School_408511_chan03_20220420_070144,132.0
