filename,datetime,dt_round,dt_round_2,ppm
Shanghai1/201407141145,201407141145,2014-07-14 11:45:00,2014-07-14 12:00:00,67.0
Shanghai1/201405101330,201405101330,2014-05-10 13:30:00,2014-05-10 14:00:00,34.0
Shanghai1/201405211400,201405211400,2014-05-21 14:00:00,2014-05-21 14:00:00,125.0
Shanghai1/201405251030,201405251030,2014-05-25 10:30:00,2014-05-25 10:00:00,86.0
Shanghai1/201407211245,201407211245,2014-07-21 12:45:00,2014-07-21 13:00:00,21.0
Shanghai1/201407291445,201407291445,2014-07-29 14:45:00,2014-07-29 15:00:00,27.0
Shanghai1/201405221500,201405221500,2014-05-22 15:00:00,2014-05-22 15:00:00,38.0
Shanghai1/201406271115,201406271115,2014-06-27 11:15:00,2014-06-27 11:00:00,10.0
Shanghai1/201407221345,201407221345,2014-07-22 13:45:00,2014-07-22 14:00:00,23.0
Shanghai1/201405301015,201405301015,2014-05-30 10:15:00,2014-05-30 10:00:00,75.0
Shanghai1/201408031145,201408031145,2014-08-03 11:45:00,2014-08-03 12:00:00,66.0
Shanghai1/201407131515,201407131515,2014-07-13 15:15:00,2014-07-13 15:00:00,29.0
Shanghai1/201407101415,201407101415,2014-07-10 14:15:00,2014-07-10 14:00:00,85.0
Shanghai1/201407181215,201407181215,2014-07-18 12:15:00,2014-07-18 12:00:00,22.0
Shanghai1/201406081115,201406081115,2014-06-08 11:15:00,2014-06-08 11:00:00,42.0
Shanghai1/201405091130,201405091130,2014-05-09 11:30:00,2014-05-09 12:00:00,47.0
Shanghai1/201405151300,201405151300,2014-05-15 13:00:00,2014-05-15 13:00:00,42.0
Shanghai1/201407081200,201407081200,2014-07-08 12:00:00,2014-07-08 12:00:00,25.0
Shanghai1/201407051545,201407051545,2014-07-05 15:45:00,2014-07-05 16:00:00,32.0
Shanghai1/201405161200,201405161200,2014-05-16 12:00:00,2014-05-16 12:00:00,53.0
Shanghai1/201405061200,201405061200,2014-05-06 12:00:00,2014-05-06 12:00:00,28.0
Shanghai1/201407161445,201407161445,2014-07-16 14:45:00,2014-07-16 15:00:00,23.0
Shanghai1/201407061445,201407061445,2014-07-06 14:45:00,2014-07-06 15:00:00,49.0
Shanghai1/201408061015,201408061015,2014-08-06 10:15:00,2014-08-06 10:00:00,44.0
Shanghai1/201405231100,201405231100,2014-05-23 11:00:00,2014-05-23 11:00:00,22.0
Shanghai1/201407281045,201407281045,2014-07-28 10:45:00,2014-07-28 11:00:00,29.0
Shanghai1/201408051115,201408051115,2014-08-05 11:15:00,2014-08-05 11:00:00,36.0
Shanghai1/201407140845,201407140845,2014-07-14 08:45:00,2014-07-14 09:00:00,66.0
Shanghai1/201407271215,201407271215,2014-07-27 12:15:00,2014-07-27 12:00:00,42.0
Shanghai1/201406221045,201406221045,2014-06-22 10:45:00,2014-06-22 11:00:00,29.0
Shanghai1/201407241315,201407241315,2014-07-24 13:15:00,2014-07-24 13:00:00,17.0
Shanghai1/201408011445,201408011445,2014-08-01 14:45:00,2014-08-01 15:00:00,19.0
Shanghai1/201406141245,201406141245,2014-06-14 12:45:00,2014-06-14 13:00:00,107.0
Shanghai1/201407111015,201407111015,2014-07-11 10:15:00,2014-07-11 10:00:00,113.0
Shanghai1/201406071345,201406071345,2014-06-07 13:45:00,2014-06-07 14:00:00,59.0
Shanghai1/201406171345,201406171345,2014-06-17 13:45:00,2014-06-17 14:00:00,42.0
Shanghai1/201407121115,201407121115,2014-07-12 11:15:00,2014-07-12 11:00:00,64.0
Shanghai1/201407301245,201407301245,2014-07-30 12:45:00,2014-07-30 13:00:00,17.0
Shanghai1/201407281445,201407281445,2014-07-28 14:45:00,2014-07-28 15:00:00,55.0
Shanghai1/201407201245,201407201245,2014-07-20 12:45:00,2014-07-20 13:00:00,23.0
Shanghai1/201408051515,201408051515,2014-08-05 15:15:00,2014-08-05 15:00:00,36.0
Shanghai1/201405201400,201405201400,2014-05-20 14:00:00,2014-05-20 14:00:00,76.0
Shanghai1/201407231345,201407231345,2014-07-23 13:45:00,2014-07-23 14:00:00,21.0
Shanghai1/201408061415,201408061415,2014-08-06 14:15:00,2014-08-06 14:00:00,33.0
Shanghai1/201406261115,201406261115,2014-06-26 11:15:00,2014-06-26 11:00:00,10.0
Shanghai1/201405121230,201405121230,2014-05-12 12:30:00,2014-05-12 12:00:00,61.0
Shanghai1/201406131215,201406131215,2014-06-13 12:15:00,2014-06-13 12:00:00,83.0
Shanghai1/201407061045,201407061045,2014-07-06 10:45:00,2014-07-06 11:00:00,41.0
Shanghai1/201405111330,201405111330,2014-05-11 13:30:00,2014-05-11 14:00:00,36.0
Shanghai1/201406181515,201406181515,2014-06-18 15:15:00,2014-06-18 15:00:00,28.0
Shanghai1/201407051145,201407051145,2014-07-05 11:45:00,2014-07-05 12:00:00,30.0
Shanghai1/201407121515,201407121515,2014-07-12 15:15:00,2014-07-12 15:00:00,46.0
Shanghai1/201407191215,201407191215,2014-07-19 12:15:00,2014-07-19 12:00:00,24.0
Shanghai1/201407111415,201407111415,2014-07-11 14:15:00,2014-07-11 14:00:00,79.0
Shanghai1/201406211545,201406211545,2014-06-21 15:45:00,2014-06-21 16:00:00,37.0
Shanghai1/201408011045,201408011045,2014-08-01 10:45:00,2014-08-01 11:00:00,-2.0
Shanghai1/201405311015,201405311015,2014-05-31 10:15:00,2014-05-31 10:00:00,38.0
Shanghai1/201408021145,201408021145,2014-08-02 11:45:00,2014-08-02 12:00:00,4.0
Shanghai1/201406221445,201406221445,2014-06-22 14:45:00,2014-06-22 15:00:00,21.0
Shanghai1/201405221100,201405221100,2014-05-22 11:00:00,2014-05-22 11:00:00,49.0
Shanghai1/201406271515,201406271515,2014-06-27 15:15:00,2014-06-27 15:00:00,28.0
Shanghai1/201407291045,201407291045,2014-07-29 10:45:00,2014-07-29 11:00:00,49.0
Shanghai1/201407041545,201407041545,2014-07-04 15:45:00,2014-07-04 16:00:00,41.0
Shanghai1/201405181130,201405181130,2014-05-18 11:30:00,2014-05-18 12:00:00,33.0
Shanghai1/201405081130,201405081130,2014-05-08 11:30:00,2014-05-08 12:00:00,79.0
Shanghai1/201406091115,201406091115,2014-06-09 11:15:00,2014-06-09 11:00:00,38.0
Shanghai1/201407071445,201407071445,2014-07-07 14:45:00,2014-07-07 15:00:00,35.0
Shanghai1/201407171445,201407171445,2014-07-17 14:45:00,2014-07-17 15:00:00,27.0
Shanghai1/201405071200,201405071200,2014-05-07 12:00:00,2014-05-07 12:00:00,49.0
Shanghai1/201407101015,201407101015,2014-07-10 10:15:00,2014-07-10 10:00:00,69.0
Shanghai1/201407031115,201407031115,2014-07-03 11:15:00,2014-07-03 11:00:00,90.0
Shanghai1/201408020845,201408020845,2014-08-02 08:45:00,2014-08-02 09:00:00,7.0
Shanghai1/201407131115,201407131115,2014-07-13 11:15:00,2014-07-13 11:00:00,20.0
Shanghai1/201406061345,201406061345,2014-06-06 13:45:00,2014-06-06 14:00:00,38.0
Shanghai1/201408031545,201408031545,2014-08-03 15:45:00,2014-08-03 16:00:00,43.0
Shanghai1/201407261215,201407261215,2014-07-26 12:15:00,2014-07-26 12:00:00,68.0
Shanghai1/201406201145,201406201145,2014-06-20 11:45:00,2014-06-20 12:00:00,26.0
Shanghai1/201408081245,201408081245,2014-08-08 12:45:00,2014-08-08 13:00:00,16.0
Shanghai1/201407251315,201407251315,2014-07-25 13:15:00,2014-07-25 13:00:00,32.0
Shanghai1/201406061145,201406061145,2014-06-06 11:45:00,2014-06-06 12:00:00,50.0
Shanghai1/201407031315,201407031315,2014-07-03 13:15:00,2014-07-03 13:00:00,92.0
Shanghai1/201407131315,201407131315,2014-07-13 13:15:00,2014-07-13 13:00:00,64.0
Shanghai1/201407081415,201407081415,2014-07-08 14:15:00,2014-07-08 14:00:00,18.0
Shanghai1/201407101215,201407101215,2014-07-10 12:15:00,2014-07-10 12:00:00,67.0
Shanghai1/201407181415,201407181415,2014-07-18 14:15:00,2014-07-18 14:00:00,20.0
Shanghai1/201407251115,201407251115,2014-07-25 11:15:00,2014-07-25 11:00:00,6.0
Shanghai1/201408081045,201408081045,2014-08-08 10:45:00,2014-08-08 11:00:00,22.0
Shanghai1/201407261015,201407261015,2014-07-26 10:15:00,2014-07-26 10:00:00,57.0
Shanghai1/201407211445,201407211445,2014-07-21 14:45:00,2014-07-21 15:00:00,22.0
Shanghai1/201407291245,201407291245,2014-07-29 12:45:00,2014-07-29 13:00:00,28.0
Shanghai1/201407221545,201407221545,2014-07-22 15:45:00,2014-07-22 16:00:00,26.0
Shanghai1/201405221300,201405221300,2014-05-22 13:00:00,2014-05-22 13:00:00,43.0
Shanghai1/201405271245,201405271245,2014-05-27 12:45:00,2014-05-27 13:00:00,65.0
Shanghai1/201406121415,201406121415,2014-06-12 14:15:00,2014-06-12 14:00:00,42.0
Shanghai1/201405131430,201405131430,2014-05-13 14:30:00,2014-05-13 14:00:00,44.0
Shanghai1/201407230845,201407230845,2014-07-23 08:45:00,2014-07-23 09:00:00,10.0
Shanghai1/201405181330,201405181330,2014-05-18 13:30:00,2014-05-18 14:00:00,29.0
Shanghai1/201406191315,201406191315,2014-06-19 13:15:00,2014-06-19 13:00:00,44.0
Shanghai1/201405081330,201405081330,2014-05-08 13:30:00,2014-05-08 14:00:00,64.0
Shanghai1/201406091315,201406091315,2014-06-09 13:15:00,2014-06-09 13:00:00,33.0
Shanghai1/201407191015,201407191015,2014-07-19 10:15:00,2014-07-19 10:00:00,12.0
Shanghai1/201407091015,201407091015,2014-07-09 10:15:00,2014-07-09 10:00:00,16.0
Shanghai1/201407250815,201407250815,2014-07-25 08:15:00,2014-07-25 08:00:00,7.0
Shanghai1/201407271415,201407271415,2014-07-27 14:15:00,2014-07-27 14:00:00,43.0
Shanghai1/201406291145,201406291145,2014-06-29 11:45:00,2014-06-29 12:00:00,108.0
Shanghai1/201408011245,201408011245,2014-08-01 12:45:00,2014-08-01 13:00:00,2.0
Shanghai1/201405311215,201405311215,2014-05-31 12:15:00,2014-05-31 12:00:00,41.0
Shanghai1/201407241515,201407241515,2014-07-24 15:15:00,2014-07-24 15:00:00,17.0
Shanghai1/201406261315,201406261315,2014-06-26 13:15:00,2014-06-26 13:00:00,8.0
Shanghai1/201407231145,201407231145,2014-07-23 11:45:00,2014-07-23 12:00:00,16.0
Shanghai1/201407301045,201407301045,2014-07-30 10:45:00,2014-07-30 11:00:00,16.0
Shanghai1/201407201045,201407201045,2014-07-20 10:45:00,2014-07-20 11:00:00,29.0
Shanghai1/201405111130,201405111130,2014-05-11 11:30:00,2014-05-11 12:00:00,37.0
Shanghai1/201407061245,201407061245,2014-07-06 12:45:00,2014-07-06 13:00:00,57.0
Shanghai1/201405161400,201405161400,2014-05-16 14:00:00,2014-05-16 14:00:00,43.0
Shanghai1/201405121030,201405121030,2014-05-12 10:30:00,2014-05-12 10:00:00,52.0
Shanghai1/201406131015,201406131015,2014-06-13 10:15:00,2014-06-13 10:00:00,78.0
Shanghai1/201407131415,201407131415,2014-07-13 14:15:00,2014-07-13 14:00:00,42.0
Shanghai1/201407081315,201407081315,2014-07-08 13:15:00,2014-07-08 13:00:00,25.0
Shanghai1/201407181315,201407181315,2014-07-18 13:15:00,2014-07-18 13:00:00,25.0
Shanghai1/201407101515,201407101515,2014-07-10 15:15:00,2014-07-10 15:00:00,91.0
Shanghai1/201406301445,201406301445,2014-06-30 14:45:00,2014-06-30 15:00:00,33.0
Shanghai1/201405301115,201405301115,2014-05-30 11:15:00,2014-05-30 11:00:00,63.0
Shanghai1/201408031045,201408031045,2014-08-03 10:45:00,2014-08-03 11:00:00,52.0
Shanghai1/201405211500,201405211500,2014-05-21 15:00:00,2014-05-21 15:00:00,138.0
Shanghai1/201406241115,201406241115,2014-06-24 11:15:00,2014-06-24 11:00:00,49.0
Shanghai1/201407211345,201407211345,2014-07-21 13:45:00,2014-07-21 14:00:00,18.0
Shanghai1/201405271545,201405271545,2014-05-27 15:45:00,2014-05-27 16:00:00,62.0
Shanghai1/201406271015,201406271015,2014-06-27 10:15:00,2014-06-27 10:00:00,17.0
Shanghai1/201407221245,201407221245,2014-07-22 12:45:00,2014-07-22 13:00:00,24.0
Shanghai1/201408060815,201408060815,2014-08-06 08:15:00,2014-08-06 08:00:00,18.0
Shanghai1/201407071145,201407071145,2014-07-07 11:45:00,2014-07-07 12:00:00,35.0
Shanghai1/201407171145,201407171145,2014-07-17 11:45:00,2014-07-17 12:00:00,23.0
Shanghai1/201406121315,201406121315,2014-06-12 13:15:00,2014-06-12 13:00:00,50.0
Shanghai1/201407041045,201407041045,2014-07-04 10:45:00,2014-07-04 11:00:00,80.0
Shanghai1/201407141045,201407141045,2014-07-14 10:45:00,2014-07-14 11:00:00,64.0
Shanghai1/201406191415,201406191415,2014-06-19 14:15:00,2014-06-19 14:00:00,38.0
Shanghai1/201405181430,201405181430,2014-05-18 14:30:00,2014-05-18 14:00:00,29.0
Shanghai1/201407280845,201407280845,2014-07-28 08:45:00,2014-07-28 09:00:00,29.0
Shanghai1/201406071245,201406071245,2014-06-07 12:45:00,2014-06-07 13:00:00,68.0
Shanghai1/201406171245,201406171245,2014-06-17 12:45:00,2014-06-17 13:00:00,45.0
Shanghai1/201407121015,201407121015,2014-07-12 10:15:00,2014-07-12 10:00:00,91.0
Shanghai1/201407271315,201407271315,2014-07-27 13:15:00,2014-07-27 13:00:00,49.0
Shanghai1/201407241215,201407241215,2014-07-24 12:15:00,2014-07-24 12:00:00,21.0
Shanghai1/201408011545,201408011545,2014-08-01 15:45:00,2014-08-01 16:00:00,10.0
Shanghai1/201405311515,201405311515,2014-05-31 15:15:00,2014-05-31 15:00:00,48.0
Shanghai1/201406261415,201406261415,2014-06-26 14:15:00,2014-06-26 14:00:00,17.0
Shanghai1/201405261145,201405261145,2014-05-26 11:45:00,2014-05-26 12:00:00,88.0
Shanghai1/201408061115,201408061115,2014-08-06 11:15:00,2014-08-06 11:00:00,47.0
Shanghai1/201407170845,201407170845,2014-07-17 08:45:00,2014-07-17 09:00:00,19.0
Shanghai1/201407281145,201407281145,2014-07-28 11:45:00,2014-07-28 12:00:00,29.0
Shanghai1/201408051015,201408051015,2014-08-05 10:15:00,2014-08-05 10:00:00,37.0
Shanghai1/201406251515,201406251515,2014-06-25 15:15:00,2014-06-25 15:00:00,17.0
Shanghai1/201405151200,201405151200,2014-05-15 12:00:00,2014-05-15 12:00:00,53.0
Shanghai1/201407051445,201407051445,2014-07-05 14:45:00,2014-07-05 15:00:00,24.0
Shanghai1/201405161300,201405161300,2014-05-16 13:00:00,2014-05-16 13:00:00,59.0
Shanghai1/201405061300,201405061300,2014-05-06 13:00:00,2014-05-06 13:00:00,33.0
Shanghai1/201407161545,201407161545,2014-07-16 15:45:00,2014-07-16 16:00:00,23.0
Shanghai1/201407061545,201407061545,2014-07-06 15:45:00,2014-07-06 16:00:00,50.0
Shanghai1/201408051215,201408051215,2014-08-05 12:15:00,2014-08-05 12:00:00,39.0
Shanghai1/201405281500,201405281500,2014-05-28 15:00:00,2014-05-28 15:00:00,78.0
Shanghai1/201407301545,201407301545,2014-07-30 15:45:00,2014-07-30 16:00:00,22.0
Shanghai1/201407201545,201407201545,2014-07-20 15:45:00,2014-07-20 16:00:00,17.0
Shanghai1/201405261345,201405261345,2014-05-26 13:45:00,2014-05-26 14:00:00,86.0
Shanghai1/201408061315,201408061315,2014-08-06 13:15:00,2014-08-06 13:00:00,43.0
Shanghai1/201405231200,201405231200,2014-05-23 12:00:00,2014-05-23 12:00:00,20.0
Shanghai1/201407231445,201407231445,2014-07-23 14:45:00,2014-07-23 15:00:00,15.0
Shanghai1/201405161100,201405161100,2014-05-16 11:00:00,2014-05-16 11:00:00,58.0
Shanghai1/201405061100,201405061100,2014-05-06 11:00:00,2014-05-06 11:00:00,24.0
Shanghai1/201407210845,201407210845,2014-07-21 08:45:00,2014-07-21 09:00:00,13.0
Shanghai1/201405151000,201405151000,2014-05-15 10:00:00,2014-05-15 10:00:00,72.0
Shanghai1/201406081215,201406081215,2014-06-08 12:15:00,2014-06-08 12:00:00,37.0
Shanghai1/201405191230,201405191230,2014-05-19 12:30:00,2014-05-19 12:00:00,34.0
Shanghai1/201407121215,201407121215,2014-07-12 12:15:00,2014-07-12 12:00:00,69.0
Shanghai1/201406071045,201406071045,2014-06-07 10:45:00,2014-06-07 11:00:00,78.0
Shanghai1/201406171045,201406171045,2014-06-17 10:45:00,2014-06-17 11:00:00,26.0
Shanghai1/201407191515,201407191515,2014-07-19 15:15:00,2014-07-19 15:00:00,33.0
Shanghai1/201407091515,201407091515,2014-07-09 15:15:00,2014-07-09 15:00:00,27.0
Shanghai1/201406141145,201406141145,2014-06-14 11:45:00,2014-06-14 12:00:00,103.0
Shanghai1/201407241015,201407241015,2014-07-24 10:15:00,2014-07-24 10:00:00,19.0
Shanghai1/201406221345,201406221345,2014-06-22 13:45:00,2014-06-22 14:00:00,26.0
Shanghai1/201407271115,201407271115,2014-07-27 11:15:00,2014-07-27 11:00:00,55.0
Shanghai1/201407221045,201407221045,2014-07-22 10:45:00,2014-07-22 11:00:00,8.0
Shanghai1/201406271215,201406271215,2014-06-27 12:15:00,2014-06-27 12:00:00,19.0
Shanghai1/201407211145,201407211145,2014-07-21 11:45:00,2014-07-21 12:00:00,21.0
Shanghai1/201405101030,201405101030,2014-05-10 10:30:00,2014-05-10 10:00:00,46.0
Shanghai1/201405141400,201405141400,2014-05-14 14:00:00,2014-05-14 14:00:00,143.0
Shanghai1/201407041245,201407041245,2014-07-04 12:45:00,2014-07-04 13:00:00,61.0
Shanghai1/201406121115,201406121115,2014-06-12 11:15:00,2014-06-12 11:00:00,48.0
Shanghai1/201405171500,201405171500,2014-05-17 15:00:00,2014-05-17 15:00:00,35.0
Shanghai1/201407071345,201407071345,2014-07-07 13:45:00,2014-07-07 14:00:00,32.0
Shanghai1/201406061445,201406061445,2014-06-06 14:45:00,2014-06-06 15:00:00,45.0
Shanghai1/201407261515,201407261515,2014-07-26 15:15:00,2014-07-26 15:00:00,61.0
Shanghai1/201408031245,201408031245,2014-08-03 12:45:00,2014-08-03 13:00:00,62.0
Shanghai1/201407251415,201407251415,2014-07-25 14:15:00,2014-07-25 14:00:00,34.0
Shanghai1/201405301315,201405301315,2014-05-30 13:15:00,2014-05-30 13:00:00,65.0
Shanghai1/201408081545,201408081545,2014-08-08 15:45:00,2014-08-08 16:00:00,27.0
Shanghai1/201405071100,201405071100,2014-05-07 11:00:00,2014-05-07 11:00:00,51.0
Shanghai1/201405101430,201405101430,2014-05-10 14:30:00,2014-05-10 14:00:00,34.0
Shanghai1/201405181230,201405181230,2014-05-18 12:30:00,2014-05-18 12:00:00,33.0
Shanghai1/201406091215,201406091215,2014-06-09 12:15:00,2014-06-09 12:00:00,44.0
Shanghai1/201407200845,201407200845,2014-07-20 08:45:00,2014-07-20 09:00:00,27.0
Shanghai1/201405081230,201405081230,2014-05-08 12:30:00,2014-05-08 12:00:00,79.0
Shanghai1/201405141000,201405141000,2014-05-14 10:00:00,2014-05-14 10:00:00,81.0
Shanghai1/201407291345,201407291345,2014-07-29 13:45:00,2014-07-29 14:00:00,25.0
Shanghai1/201407211545,201407211545,2014-07-21 15:45:00,2014-07-21 16:00:00,19.0
Shanghai1/201407311545,201407311545,2014-07-31 15:45:00,2014-07-31 16:00:00,11.0
Shanghai1/201405211300,201405211300,2014-05-21 13:00:00,2014-05-21 13:00:00,130.0
Shanghai1/201407221445,201407221445,2014-07-22 14:45:00,2014-07-22 15:00:00,17.0
Shanghai1/201405221200,201405221200,2014-05-22 12:00:00,2014-05-22 12:00:00,46.0
Shanghai1/201407251015,201407251015,2014-07-25 10:15:00,2014-07-25 10:00:00,3.0
Shanghai1/201408081145,201408081145,2014-08-08 11:45:00,2014-08-08 12:00:00,17.0
Shanghai1/201406281445,201406281445,2014-06-28 14:45:00,2014-06-28 15:00:00,107.0
Shanghai1/201407261115,201407261115,2014-07-26 11:15:00,2014-07-26 11:00:00,59.0
Shanghai1/201406161045,201406161045,2014-06-16 10:45:00,2014-06-16 11:00:00,17.0
Shanghai1/201406061045,201406061045,2014-06-06 10:45:00,2014-06-06 11:00:00,50.0
Shanghai1/201407031215,201407031215,2014-07-03 12:15:00,2014-07-03 12:00:00,90.0
Shanghai1/201407131215,201407131215,2014-07-13 12:15:00,2014-07-13 12:00:00,38.0
Shanghai1/201406151145,201406151145,2014-06-15 11:45:00,2014-06-15 12:00:00,53.0
Shanghai1/201407181515,201407181515,2014-07-18 15:15:00,2014-07-18 15:00:00,22.0
Shanghai1/201407101315,201407101315,2014-07-10 13:15:00,2014-07-10 13:00:00,71.0
Shanghai1/201407051245,201407051245,2014-07-05 12:45:00,2014-07-05 13:00:00,31.0
Shanghai1/201406101015,201406101015,2014-06-10 10:15:00,2014-06-10 10:00:00,27.0
Shanghai1/201405111030,201405111030,2014-05-11 10:30:00,2014-05-11 10:00:00,24.0
Shanghai1/201407161345,201407161345,2014-07-16 13:45:00,2014-07-16 14:00:00,22.0
Shanghai1/201407061345,201407061345,2014-07-06 13:45:00,2014-07-06 14:00:00,55.0
Shanghai1/201405161500,201405161500,2014-05-16 15:00:00,2014-05-16 15:00:00,47.0
Shanghai1/201405061500,201405061500,2014-05-06 15:00:00,2014-05-06 15:00:00,43.0
Shanghai1/201405121130,201405121130,2014-05-12 11:30:00,2014-05-12 12:00:00,61.0
Shanghai1/201406261215,201406261215,2014-06-26 12:15:00,2014-06-26 12:00:00,20.0
Shanghai1/201407231045,201407231045,2014-07-23 10:45:00,2014-07-23 11:00:00,14.0
Shanghai1/201406251315,201406251315,2014-06-25 13:15:00,2014-06-25 13:00:00,22.0
Shanghai1/201407201145,201407201145,2014-07-20 11:45:00,2014-07-20 12:00:00,23.0
Shanghai1/201408021245,201408021245,2014-08-02 12:45:00,2014-08-02 13:00:00,3.0
Shanghai1/201407271515,201407271515,2014-07-27 15:15:00,2014-07-27 15:00:00,31.0
Shanghai1/201408011345,201408011345,2014-08-01 13:45:00,2014-08-01 14:00:00,15.0
Shanghai1/201406291045,201406291045,2014-06-29 10:45:00,2014-06-29 11:00:00,84.0
Shanghai1/201407241415,201407241415,2014-07-24 14:15:00,2014-07-24 14:00:00,19.0
Shanghai1/201407091115,201407091115,2014-07-09 11:15:00,2014-07-09 11:00:00,26.0
Shanghai1/201408080845,201408080845,2014-08-08 08:45:00,2014-08-08 09:00:00,11.0
Shanghai1/201406171445,201406171445,2014-06-17 14:45:00,2014-06-17 15:00:00,60.0
Shanghai1/201408011145,201408011145,2014-08-01 11:45:00,2014-08-01 12:00:00,-2.0
Shanghai1/201406211445,201406211445,2014-06-21 14:45:00,2014-06-21 15:00:00,26.0
Shanghai1/201405311115,201405311115,2014-05-31 11:15:00,2014-05-31 11:00:00,36.0
Shanghai1/201406221545,201406221545,2014-06-22 15:45:00,2014-06-22 16:00:00,22.0
Shanghai1/201408021045,201408021045,2014-08-02 10:45:00,2014-08-02 11:00:00,5.0
Shanghai1/201407121415,201407121415,2014-07-12 14:15:00,2014-07-12 14:00:00,87.0
Shanghai1/201407111515,201407111515,2014-07-11 15:15:00,2014-07-11 15:00:00,78.0
Shanghai1/201407191315,201407191315,2014-07-19 13:15:00,2014-07-19 13:00:00,22.0
Shanghai1/201407091315,201407091315,2014-07-09 13:15:00,2014-07-09 13:00:00,11.0
Shanghai1/201407061145,201407061145,2014-07-06 11:45:00,2014-07-06 12:00:00,41.0
Shanghai1/201405091430,201405091430,2014-05-09 14:30:00,2014-05-09 14:00:00,42.0
Shanghai1/201406081415,201406081415,2014-06-08 14:15:00,2014-06-08 14:00:00,43.0
Shanghai1/201405111230,201405111230,2014-05-11 12:30:00,2014-05-11 12:00:00,37.0
Shanghai1/201406181415,201406181415,2014-06-18 14:15:00,2014-06-18 14:00:00,28.0
